filename,width,height,size,u,v,perpendicular_dist,parallel_dist,abs_dist,angle
1707226458.206863_F.jpg,0.09087274339463976,0.1298172844780816,0.01179685278056566,0.4943016899956597,0.7452590942382813,1.033082,0.055224,1.0345569626173323,1.6242010799059725
1707226459.285001_F.jpg,0.09095726013183594,0.12984390258789064,0.011810245624219534,0.49429295857747396,0.7452234903971354,1.035786,0.052962,1.0371391474821496,1.6218840185419616
1707226460.256191_F.jpg,0.09093534681532119,0.12987471686469185,0.011810202420632396,0.4942005581325955,0.7452667236328125,1.037996,0.053555,1.0393766564826246,1.622345229247958
1707226461.151967_F.jpg,0.09113837348090278,0.12987692091200087,0.011836771324627609,0.4942805820041233,0.7451904296875,1.157382,0.045155,1.1582625211708266,1.6097913258231857
1707226462.182246_F.jpg,0.09105300903320312,0.12981397840711806,0.011819953348539356,0.49433309766981337,0.7452012803819444,1.317004,0.036202,1.3175014690010787,1.5982775539404812
1707226463.222865_F.jpg,0.08977071974012586,0.12783321804470485,0.0114756799905696,0.4943968031141493,0.7416126675075955,1.483167,0.034161,1.4835603539492417,1.5938247256056604
1707226464.286937_F.jpg,0.07849960327148438,0.11149503919813368,0.008752316343792093,0.497547361585829,0.7128914727105035,1.64945,0.021996,1.6495966557058728,1.5841308906054303
1707226465.145911_F.jpg,0.06983290778266059,0.09810286627875434,0.006850808414058935,0.5010613335503472,0.68762329949273,1.827078,0.022653,1.827218426049004,1.5831941769955413
1707226466.157311_F.jpg,0.061851882934570314,0.08715133666992188,0.005390474273299333,0.5034255133734808,0.667339113023546,2.012181,0.01244,2.012219453827291,1.5769785944498438
1707226467.200261_F.jpg,0.05618345472547743,0.07759662204318576,0.004359646301413311,0.5052467346191406,0.6504806094699436,2.127935,0.011154,2.127964232768258,1.576037980251426
1707226468.184278_F.jpg,0.050720596313476564,0.06927447848849827,0.0035136428582417368,0.5065633985731337,0.6355582767062717,2.177055,0.023818,2.177185286131844,1.5817363580660364
1707226469.228937_F.jpg,0.046698209974500866,0.06252899169921874,0.0029199919838639385,0.5081576029459636,0.6228613959418403,2.346676,0.075134,2.34787848214766,1.6028025954320317
1707226470.261537_F.jpg,0.04601478576660156,0.059417173597547744,0.002734068513948134,0.5073633829752604,0.6182047949896918,2.515343,0.142721,2.519388753545193,1.6274757276803775
1707226471.128771_F.jpg,0.042590628729926215,0.05489006042480469,0.0023378021845160725,0.5024114820692275,0.6094591352674696,2.628216,0.215369,2.6370254357546496,1.6525585819867115
1707226472.175750_F.jpg,0.03889685736762153,0.05063705444335938,0.001969622284199836,0.4954272800021701,0.6019040849473741,2.80767,0.231696,2.817213847991664,1.6531322819857763
1707226473.190744_F.jpg,0.03631744384765625,0.047374725341796875,0.0017205289273988455,0.48861541748046877,0.5960316975911458,2.97927,0.245006,2.989327294381798,1.652848612227469
1707226474.279594_F.jpg,0.03557946946885851,0.04521276685926649,0.00160864625807189,0.486885748969184,0.5918701595730251,3.174779,0.240681,3.1838889808851687,1.6464619093499417
1707226475.270674_F.jpg,0.033136749267578126,0.042572402954101564,0.001410711042408366,0.4869027031792535,0.5863580067952474,3.344248,0.237465,3.352668237647292,1.6416843422895873
1707226476.152952_F.jpg,0.03156763712565104,0.03959829542371962,0.0012500246207303091,0.4874633365207248,0.5815052880181206,3.518381,0.218082,3.525133276896776,1.6327007521313883
1707226477.173350_F.jpg,0.029924562242296008,0.0376188490125868,0.0011257275887606895,0.48910047743055557,0.577411863538954,3.687371,0.191467,3.6923386225710666,1.622674805862607
1707226478.213829_F.jpg,0.02826940748426649,0.03555870056152344,0.0010052233957847218,0.49099290635850695,0.5734234703911676,3.844736,0.160405,3.8480806480271434,1.6124928254065942
1707226479.286556_F.jpg,0.027359898885091147,0.034629906548394096,0.0009474707415642182,0.49305250379774307,0.5706940544976129,4.043149,0.13397,4.045367943352124,1.6039192718731372
1707226480.143400_F.jpg,0.025588904486762154,0.03171446058485243,0.0008115383027549718,0.49581294589572483,0.566248533460829,4.137341,0.114067,4.138913121916187,1.598359467457975
1707226481.154928_F.jpg,0.02497160169813368,0.030164718627929688,0.0007532613389129336,0.49813003540039064,0.5632361094156901,4.341266,0.072049,4.341863832636509,1.58739111414342
1707226482.186262_F.jpg,0.023585595024956597,0.029299163818359376,0.0006910382123896852,0.5010966406928168,0.5614944458007812,4.533622,0.036609,4.533769806437575,1.5788711518082712
1707226483.190126_F.jpg,0.02266320122612847,0.027583397759331597,0.0006251280939200732,0.5035645378960504,0.558424801296658,4.735858,-0.001979,4.735858413487992,1.5703784511143317
1707226484.257751_F.jpg,0.02204962836371528,0.02654101053873698,0.000585219418776601,0.5063404507107205,0.5565437740749783,4.877344,-0.034224,4.877464072293306,1.5637795081499968
1707226485.155513_F.jpg,0.02079561021592882,0.025961685180664062,0.0005398890855657453,0.5088574303521051,0.554963133070204,5.072564,-0.069093,5.073034533368071,1.5571762467830665
1707226486.142698_F.jpg,0.019462203979492186,0.025010850694444444,0.0004867662779159016,0.5110471937391493,0.5532647874620226,5.225406,-0.078121,5.225989930671222,1.5558472146063065
1707226487.189877_F.jpg,0.018946456909179687,0.023888778686523438,0.00045260771599714644,0.5124854193793402,0.5510827382405599,5.431824,-0.053756,5.432089991385635,1.5609001583735407
1707226488.181219_F.jpg,0.01905364990234375,0.023178482055664064,0.00044163468235637994,0.5139471266004775,0.5501217736138238,5.608351,-0.04001,5.608493713939689,1.5636624435439757
