filename,inference_time,robot_in_the_frame_or_not,detected_or_not,parallel_pixel_dist,size,perp_dist_to_the_robot_pred,dist_to_the_robot_gt,parallel_dist_to_the_robot_gt,perp_dist_to_the_robot_gt,angle
1708418097.170986_B.jpg,2120.9826469421387,0,0,,,,1.0917875251164946,0.16,1.08,1.423717971406494
1708418097.194988_F.jpg,90.90590476989746,1,1,13.496483696831596,101.92472358244288,1.2064640522003174,1.0917875251164946,0.16,1.08,1.423717971406494
1708418098.179994_B.jpg,86.17615699768066,0,0,,,,1.0917875251164946,0.16,1.08,1.423717971406494
1708418098.197396_F.jpg,88.33432197570801,1,1,13.536326090494791,102.09416266168571,1.2065117359161377,1.0917875251164946,0.16,1.08,1.423717971406494
1708418099.177347_B.jpg,73.99988174438477,0,0,,,,1.0917875251164946,0.16,1.08,1.423717971406494
1708418099.236570_F.jpg,98.80948066711426,1,1,13.545057508680555,101.93856069575607,1.206467866897583,1.0917875251164946,0.16,1.08,1.423717971406494
1708418100.227322_B.jpg,82.8244686126709,0,0,,,,1.1698431274393162,0.173431,1.156916,1.4219963252863927
1708418100.374095_F.jpg,87.79478073120117,1,1,13.5284423828125,101.8005805349489,1.2064290046691895,1.1698431274393162,0.173431,1.156916,1.4219963252863927
1708418101.192885_F.jpg,87.89205551147461,1,1,13.495381673177084,101.90248821880367,1.2064576148986816,1.3052782360634838,0.18901,1.291521,1.4254810653033467
1708418101.333144_B.jpg,84.87415313720703,0,0,,,,1.3052782360634838,0.18901,1.291521,1.4254810653033467
1708418102.171340_B.jpg,84.34724807739258,0,0,,,,1.3937717906031102,0.191416,1.380565,1.4330242076627933
1708418102.197634_F.jpg,92.47708320617676,1,1,13.75486585828993,99.67260966885887,1.2058296203613281,1.3937717906031102,0.191416,1.380565,1.4330242076627933
1708418103.184269_B.jpg,85.20174026489258,0,0,,,,1.4552174563359939,0.193636,1.442277,1.4373372241344757
1708418103.204547_F.jpg,88.21272850036621,1,1,13.393783569335938,93.39321642179175,1.2040610313415527,1.4552174563359939,0.193636,1.442277,1.4373372241344757
1708418104.178336_B.jpg,84.44476127624512,0,0,,,,1.5599086500087114,0.194654,1.547716,1.4456846759869038
1708418104.238408_F.jpg,88.29474449157715,1,1,11.743672688802084,72.94026708288224,1.2097573280334473,1.5599086500087114,0.194654,1.547716,1.4456846759869038
