filename,inference_time,robot_in_the_frame_or_not,detected_or_not,parallel_pixel_dist,size,perp_dist_to_the_robot_pred,dist_to_the_robot_gt,parallel_dist_to_the_robot_gt,perp_dist_to_the_robot_gt,angle
1707227093.140302_B.jpg,95.98541259765625,1,1,20.591905381944443,3.1061435786088825,5.8501434326171875,5.406417388598572,0.328075,5.396454,-1.5100765081842409
1707227093.167765_F.jpg,83.46915245056152,0,0,,,,5.406417388598572,0.328075,5.396454,-1.5100765081842409
1707227094.155619_B.jpg,94.27881240844727,1,1,21.404732598198784,3.35708474740386,5.640451908111572,5.15177245606597,0.351518,5.139766,-1.5025108319645797
1707227094.229259_F.jpg,86.28416061401367,0,0,,,,5.15177245606597,0.351518,5.139766,-1.5025108319645797
1707227095.228758_B.jpg,92.42105484008789,1,1,22.811804877387154,3.554634828308028,5.4898858070373535,4.917654776739112,0.373847,4.903424,-1.4947015113898647
1707227095.260856_F.jpg,88.91940116882324,0,0,,,,4.917654776739112,0.373847,4.903424,-1.4947015113898647
1707227096.108908_B.jpg,95.04413604736328,1,1,23.906707763671875,3.833780181594193,5.296841621398926,4.697181639120421,0.388847,4.681059,-1.4879184363166356
1707227096.126378_F.jpg,87.27407455444336,0,0,,,,4.697181639120421,0.388847,4.681059,-1.4879184363166356
1707227097.132081_B.jpg,93.31798553466797,1,1,25.13190375434028,4.257130772910184,5.094371795654297,4.488792214506815,0.398696,4.471051,-1.4818587968533756
1707227097.170990_F.jpg,89.33520317077637,0,0,,,,4.488792214506815,0.398696,4.471051,-1.4818587968533756
1707227098.138158_B.jpg,118.63064765930176,1,1,26.663801405164932,4.434120843911336,5.009256839752197,4.277440230583824,0.402096,4.258499,-1.4766534403981364
1707227098.173929_F.jpg,90.42906761169434,0,0,,,,4.277440230583824,0.402096,4.258499,-1.4766534403981364
1707227099.167804_B.jpg,110.57639122009277,1,1,28.643205430772568,4.950280447851975,4.713872909545898,4.180947228422047,0.404879,4.161297,-1.4738052680836202
1707227099.279953_F.jpg,86.35711669921875,0,0,,,,4.180947228422047,0.404879,4.161297,-1.4738052680836202
1707227100.230203_B.jpg,93.27292442321777,1,1,30.567974514431423,5.575774543858306,4.441829204559326,3.947007653789387,0.400224,3.926664,-1.4692224087765153
1707227100.255291_F.jpg,85.35432815551758,0,0,,,,3.947007653789387,0.400224,3.926664,-1.4692224087765153
1707227101.108561_B.jpg,94.98858451843262,1,1,32.18900892469618,5.901245688114108,4.320342540740967,3.7307183448929777,0.39462,3.709789,-1.4648222051089195
1707227101.130954_F.jpg,85.30616760253906,0,0,,,,3.7307183448929777,0.39462,3.709789,-1.4648222051089195
1707227102.129545_B.jpg,90.08312225341797,1,1,33.185831705729164,6.501057203826753,4.154691219329834,3.529999580690202,0.389068,3.508493,-1.4603543689147833
1707227102.159061_F.jpg,93.68157386779785,0,0,,,,3.529999580690202,0.389068,3.508493,-1.4603543689147833
1707227103.133226_B.jpg,86.92121505737305,1,1,34.164343939887154,7.021663495106623,4.0192341804504395,3.3187771748642603,0.3832,3.29658,-1.4550739994416044
